latitude,longitude,zipcode,severity
37.36180136,-121.8826998,95112,1
37.3470569,-121.8652417,95125,2
37.33377175,-121.772534,95148,2
37.345679,-121.8890217,95112,2
37.37215259,-121.8519104,95133,1
37.27856577,-121.775837,95138,1
37.26615859,-121.8246064,95136,2
37.34895939,-121.8385448,95116,3
37.35197446,-121.888018,95112,2
37.24855717,-121.8268502,95123,1
37.3235005,-121.9114077,95126,3
37.31534733,-121.8978763,95125,3
37.34567101,-121.9234186,95126,2
37.31828927,-121.793876,95148,1
37.29934446,-121.7713408,95138,1
37.22705828,-121.8296582,95123,1
37.32617735,-121.9047957,95126,3
37.27064492,-121.9395676,95124,2
37.25257382,-121.8357682,95123,3
37.27331307,-121.798076,95111,2
37.28151968,-121.8149993,95111,1
37.23743584,-121.8194123,95123,2
37.36274007,-121.8958654,95112,2
37.26384173,-121.8017247,95111,2
37.2636242,-121.8058364,95111,2
37.34997611,-121.8922258,95112,1
37.31666616,-121.9683254,95117,3
37.31771017,-121.8907597,95125,2
37.33937368,-121.878629,95112,1
37.30842824,-121.9199263,95128,1
37.30680304,-121.8474028,95111,2
37.27911195,-121.8675549,95116,3
37.30381058,-121.8328197,95121,1
37.36409561,-121.8458879,95148,1
37.30360448,-121.832048,95121,2
37.30288144,-121.8279307,95121,2
37.33201775,-121.9002302,95110,3
37.35392025,-121.8364299,95116,1
37.24331705,-121.8092676,95123,3
37.26156548,-121.8078524,95111,3
37.27967971,-121.8909859,95125,3
37.30842824,-121.9199263,95126,1
37.3061977,-121.7943079,95121,1
37.3688179,-121.8404869,95127,1
37.22041845,-121.8805264,95120,1
37.30449102,-121.8882312,95125,1
37.33110523,-121.8795923,95112,1
37.36271489,-121.8755796,95133,3
37.32946479,-121.8417749,95122,2
37.28536618,-121.8138808,95111,2
37.32110565,-121.7888004,95148,2
37.31004805,-121.7884996,95121,3
37.33958112,-121.8347374,95122,1
37.35662762,-121.8416807,95116,1
37.3006108,-121.9332552,95060,1
37.34575403,-121.8919677,95112,1
37.33841153,-121.8279697,95122,1
37.27331307,-121.798076,95111,1
37.33885676,-121.8272559,95122,1
37.37499118,-121.8649703,95133,2
37.259871,-121.811073,95136,2
37.34992543,-121.9167682,95110,1
37.32230054,-121.9584455,95117,2
37.35280476,-121.831896,95116,2
37.40085643,-121.866626,95132,2
37.30732042,-121.7554006,95135,3
37.31655667,-121.9942089,95129,2
37.3066679,-121.8062642,95121,1
37.35120936,-121.8233674,95127,3
37.26553023,-121.8514596,95136,2
37.34010815,-121.829616,95122,2
37.37849137,-121.8763987,95131,1
37.35197446,-121.888018,95112,1
