latitude,longitude,zipcode,severity,Comments,SubCategory,Item
37.2714999,-121.7978696,95111,2,P/U SOFA & CARSEAT FROM ROADWAY,FUR - Furniture,Furniture
37.34651506,-121.9243528,95126,2,p/u mattress boxspring debris,FUR - Furniture,Furniture
37.34111665,-121.8294464,95122,2,"p/u mattress, boxspring in street",FUR - Furniture,Furniture
37.33377175,-121.772534,95148,2,p/u black leather sofa,FUR - Furniture,Furniture
37.33377175,-121.772534,95148,1,CHECKED & GARB IS GONE,GAR - Garbage,Garbage
37.36456304,-121.8621233,95133,2,p/u mattress,FUR - Furniture,Furniture
37.3624859,-121.8651495,95133,2,p/u auto tire,TIR - Tires,Tires
37.31362236,-121.8312475,95121,1,"p/u broken concrete, suitcase - butter concr. back best could place lt barr g.t sec 64. 3459 met rp at location",OTH - Other,Other
37.34734348,-121.8111323,95127,2,p/u blue sectional sofa,FUR - Furniture,Furniture
37.25897682,-121.8418739,95123,2,NULL,FUR - Furniture,Furniture
37.32359104,-121.8282988,95122,1,p/u box garbage,GAR - Garbage,Garbage
37.21981709,-121.8476176,95120,1,COMPLETE,YW - Yard Waste,Yard Waste
37.3240649,-121.8275627,95122,3,kn called @ 1234 to 8956 to report,HAZ - Haz Mat,Haz Mat
37.3388262,-121.9207409,95126,2,p/u sofa cushions,FUR - Furniture,Furniture
37.30153937,-121.8642648,95125,1,p.u large cardboard box,LIT - Litter,Litter
37.37872185,-121.9110752,95131,2,P/U 2 couches,FUR - Furniture,Furniture
37.2793935,-121.9116717,95125,1,pile of concrete picked up by light duty crew,OTH - Other,Other
37.35599021,-121.8382391,95116,1,stood concrete can back up nwc  - vta assist,OTH - Other,Other
37.2903312,-121.8164932,95121,1,p/up rolls of carpet & pad,OTH - Other,Other
37.41366059,-121.8739486,95132,2,p/u 2 auto tires & debris,TIR - Tires,Tires
37.27505402,-121.8856226,95118,1,NULL,OTH - Other,Other
37.27088394,-121.8014284,95111,2,p/up debris,FUR - Furniture,Furniture
37.27810766,-121.8326982,95111,2,unable to locate,FUR - Furniture,Furniture
37.28284395,-121.8288068,95111,2,unable to locate,FUR - Furniture,Furniture
37.30647904,-121.819197,95121,1,e-mail when complete - unable to locate,OTH - Other,Other
37.26147041,-121.8856282,95118,1,HOMEOWNER CLEANED UP DEBRIS,YW - Yard Waste,Yard Waste
37.34719122,-121.8858765,95112,2,p/up mattress,FUR - Furniture,Furniture
37.34775651,-121.8637716,95116,1,"p/up boxes, toys, clothes, debris",OTH - Other,Other
37.30832738,-121.9687732,95117,2,"p/iup 2 mattresses, wood & box of garbage",FUR - Furniture,Furniture
