latitude,longitude,zipcode,severity
37.3141404,-121.9127516,95126,2
37.37238494,-121.8416754,95133,1
37.35419014,-121.88335,95112,3
37.24624458,-121.8481024,95123,2
37.30429467,-121.8453981,95111,2
37.34218455,-121.8821444,95112,1
37.40900026,-121.854431,95132,1
37.38398031,-121.8829024,95131,1
37.34708442,-121.8629366,95116,2
37.32792575,-121.8798422,95112,1
37.35863608,-121.8096885,95127,3
37.32746748,-121.8956325,95110,2
37.33793382,-121.8775547,95112,1
37.30839651,-121.9500271,95128,3
37.25636255,-121.8203012,95123,2
37.33437321,-121.9093767,95126,3
37.32802502,-121.9093871,95126,1
37.31496493,-121.8332482,95121,3
37.26564362,-121.865998,95136,2
37.25880278,-121.8266489,95136,2
37.28754681,-121.98934,95130,3
37.29195852,-121.9825669,95130,1
37.3406846,-121.8853009,95136,1
37.35147449,-121.8890682,95030,1
37.20183737,-121.8387303,95120,2
37.34787182,-121.8635229,95116,1
37.29163694,-121.8911632,95125,1
37.24204221,-121.8397063,95120,3
37.32471758,-121.829428,95122,1
37.25081675,-121.8753153,95118,3
37.36402485,-121.8916224,95112,1
37.3735003,-121.8291112,95127,1
37.29148105,-121.8184312,95121,1
37.32207135,-121.8280876,95122,2
37.32946479,-121.8417749,95122,1
37.26743079,-121.8583704,95136,1
37.29002801,-121.81305,95121,2
37.29407207,-121.8439117,95111,1
37.34168012,-121.8831979,95112,1
37.27883896,-121.8314571,95111,2
37.32812475,-121.8688754,95112,1
