latitude,longitude,zipcode,severity
37.36520545,-121.8718485,95133,3
37.357365,-121.801807,95127,2
37.32081175,-121.851439,95122,1
37.34882253,-121.8615263,95116,2
37.22900657,-121.8147167,95123,1
37.35410638,-121.8334239,95116,1
37.32712864,-121.8270759,95122,2
37.30874406,-121.7757455,95135,3
37.29293249,-121.9808037,95130,1
37.30165259,-121.8091982,95121,1
37.31866508,-121.9154979,95126,2
37.33080585,-121.787408,95148,2
37.34341117,-121.8441757,95116,3
37.32128146,-121.8180491,95122,2
37.35957337,-121.8645983,95133,3
37.27848196,-121.8782492,95125,2
37.37579626,-121.8738391,95131,3
37.3219454,-121.8970907,95125,3
37.34160344,-121.8739357,95112,1
37.31318266,-121.9526012,95117,1
37.33286263,-121.8264634,95122,1
37.33283899,-121.8676618,95112,2
37.25630705,-121.8218706,95123,2
37.34428468,-121.8186515,95127,1
37.33326811,-121.7827935,95148,2
37.31058601,-121.8000572,95121,2
37.31794204,-121.8868883,95110,3
37.27888379,-121.8233532,95111,3
37.27563658,-121.8772194,95127,3
37.31667288,-121.9692734,95117,1
37.34782126,-121.8103053,95127,2
37.30202829,-121.7810676,95121,2
37.33241757,-121.7837334,95148,2
37.33360023,-121.8743296,95112,2
37.26256244,-121.9304594,95124,2
37.32289474,-121.8851661,95110,2
37.21656093,-121.8801325,95120,3
37.36365107,-121.8573813,95133,1
37.3482567,-121.8070979,95127,3
37.31252745,-121.9454177,95128,1
37.35065265,-121.8301569,95116,1
37.41695779,-121.8714774,95132,3
37.34626901,-121.8646527,95116,2
37.35130314,-121.8135645,95127,1
37.33640285,-121.833937,95122,3
37.36067223,-121.8297513,95127,1
37.29480581,-121.8130746,95121,3
37.31585985,-121.7967321,95148,2
37.35456151,-121.8886785,95112,3
37.34405643,-121.8385454,95116,1
37.25010027,-121.7918882,95138,1
37.39595271,-121.9255079,95134,3
37.33018733,-121.8046308,95148,3
37.32967797,-121.8034284,95148,1
37.31626284,-121.9193716,95128,3
37.32959387,-121.8563312,95122,2
37.33320287,-121.8621863,95116,3
37.33352943,-121.8641471,95116,2
37.31210983,-121.9415448,95128,1
37.3369878,-121.8415145,95122,2
37.32377335,-121.9049915,95126,1
37.36658457,-121.8938518,95112,2
37.33885676,-121.8272559,95122,1
37.34010815,-121.829616,95122,1
37.24702319,-121.8174481,95123,1
